source_id,target_id,relation_type,target_in_dataset,used_for_grouping
288,108853,OTHER,True,False
288,116786,OTHER,True,False
288,130253,OTHER,True,False
288,165159,OTHER,True,False
288,166062,PARENT,True,True
289,706,SEQUEL,True,True
289,707,SIDE_STORY,True,True
289,5147,SEQUEL,True,True
289,472,CHARACTER,False,False
352,351,PREQUEL,True,True
352,12591,SIDE_STORY,False,False
352,2948,SIDE_STORY,True,True
352,1376,SIDE_STORY,True,True
352,353,SEQUEL,True,True
361,362,SEQUEL,True,True
368,972,PREQUEL,True,True
368,1401,SEQUEL,True,True
368,2873,SIDE_STORY,True,True
368,5347,SIDE_STORY,True,True
383,652,SEQUEL,True,True
383,13287,SIDE_STORY,True,True
383,1600,ALTERNATIVE,True,True
383,293,CHARACTER,False,False
383,1683,CHARACTER,True,False
397,396,PREQUEL,True,True
397,398,SEQUEL,True,True
399,396,PARENT,True,True
401,45,PREQUEL,False,False
403,797,SEQUEL,True,True
403,649,ALTERNATIVE,True,True
445,12699,CHARACTER,True,False
452,249,PARENT,True,True
460,21,PARENT,False,False
460,459,PREQUEL,True,True
460,461,SEQUEL,True,True
460,2385,SIDE_STORY,True,True
484,129,PARENT,True,True
551,287,PREQUEL,True,True
551,97888,SEQUEL,True,True
555,554,PREQUEL,False,False
555,556,SEQUEL,True,True
556,554,PREQUEL,False,False
556,555,PREQUEL,True,True
564,379,PARENT,False,False
595,156,SEQUEL,True,True
601,1062,ALTERNATIVE,False,False
608,1166,PREQUEL,False,False
608,1999,SEQUEL,True,True
608,561,PARENT,True,True
659,66,PARENT,True,True
675,1113,SEQUEL,True,True
682,684,SEQUEL,True,True
682,683,SIDE_STORY,True,True
682,1037,CHARACTER,True,False
682,2485,SIDE_STORY,False,False
695,694,OTHER,True,False
734,733,PREQUEL,False,False
764,1746,SEQUEL,True,True
764,763,ALTERNATIVE,False,False
797,403,PREQUEL,True,True
799,5472,SEQUEL,False,False
831,1014,SEQUEL,True,True
836,835,ALTERNATIVE,True,True
866,535,PREQUEL,False,False
866,1172,SEQUEL,False,False
874,3033,SEQUEL,True,True
874,3032,SIDE_STORY,True,True
874,552,PARENT,False,False
874,11385,CHARACTER,True,False
959,960,SEQUEL,True,True
1048,3849,SIDE_STORY,False,False
1048,615,SPIN_OFF,True,True
1064,2734,SEQUEL,True,True
1064,2253,ALTERNATIVE,False,False
1064,8666,OTHER,True,False
1112,180,PARENT,True,True
1119,4794,SIDE_STORY,True,True
1119,527,PARENT,False,False
1248,1249,SEQUEL,True,True
1249,1248,PREQUEL,True,True
1273,1274,PREQUEL,False,False
1364,235,PARENT,False,False
1387,1388,SEQUEL,True,True
1387,2869,ALTERNATIVE,True,True
1387,5324,ALTERNATIVE,True,True
1387,21628,SUMMARY,True,True
1413,1412,PARENT,False,False
1492,1493,SEQUEL,True,True
1493,1492,PREQUEL,True,True
1513,1512,PREQUEL,True,True
1525,527,PARENT,False,False
1539,1540,PREQUEL,False,False
1539,103555,SEQUEL,True,True
1614,1674,ALTERNATIVE,False,False
1622,525,SEQUEL,True,True
1634,1635,SEQUEL,True,True
1664,1665,ALTERNATIVE,False,False
1664,1666,ALTERNATIVE,False,False
1676,1000,PARENT,False,False
1676,1677,PREQUEL,True,True
1677,1676,SEQUEL,True,True
1678,7336,SIDE_STORY,False,False
1678,4690,ALTERNATIVE,False,False
1678,8394,ALTERNATIVE,False,False
1678,11755,ALTERNATIVE,True,True
1709,528,PREQUEL,False,False
1709,527,PARENT,False,False
1752,293,PARENT,False,False
1752,1753,SIDE_STORY,True,True
1753,1752,PARENT,True,True
1755,293,PARENT,False,False
1756,293,PARENT,False,False
1756,1748,ALTERNATIVE,True,True
1758,293,PARENT,False,False
1768,598,PREQUEL,True,True
1768,3190,SEQUEL,True,True
1797,1798,SEQUEL,True,True
1962,6579,SIDE_STORY,False,False
2014,2013,PREQUEL,False,False
2014,3000,SEQUEL,True,True
2014,2010,SIDE_STORY,True,True
2217,318,PREQUEL,True,True
2277,2278,ALTERNATIVE,True,True
2278,2277,ALTERNATIVE,True,True
2324,2325,SEQUEL,True,True
2324,4946,SIDE_STORY,False,False
2328,2329,PREQUEL,True,True
2328,2327,ALTERNATIVE,True,True
2379,2380,SEQUEL,True,True
2385,460,PARENT,True,True
2385,21,PARENT,False,False
2390,11717,ALTERNATIVE,False,False
2390,101094,SIDE_STORY,False,False
2398,1313,PREQUEL,True,True
2398,20802,SEQUEL,True,True
2420,2419,PREQUEL,False,False
2420,6245,SIDE_STORY,True,True
2442,2441,PREQUEL,True,True
2450,8362,PREQUEL,True,True
2450,3744,SEQUEL,True,True
2450,966,PARENT,False,False
2521,498,PREQUEL,False,False
2535,2536,PREQUEL,True,True
2535,1578,SEQUEL,True,True
2645,2654,OTHER,True,False
2654,2471,PARENT,False,False
2654,2645,OTHER,True,False
2776,2777,SEQUEL,True,True
2948,352,PARENT,True,True
3012,19271,SEQUEL,True,True
3012,7048,PARENT,True,True
3032,874,PARENT,True,True
3288,87,PARENT,False,False
3288,85,PARENT,False,False
3288,93,PARENT,True,True
3288,86,PARENT,False,False
3288,96,PARENT,False,False
3288,90,PARENT,False,False
3288,80,PARENT,False,False
3290,4420,PREQUEL,False,False
3382,151414,OTHER,True,False
3529,3454,PREQUEL,True,True
3587,3586,PREQUEL,False,False
3736,87479,OTHER,True,False
4024,130530,CHARACTER,False,False
4024,3202,CHARACTER,False,False
4024,110419,CHARACTER,True,False
4024,4023,CHARACTER,False,False
4024,11521,CHARACTER,True,False
4024,9770,CHARACTER,False,False
4024,4025,CHARACTER,False,False
4024,14253,OTHER,False,False
4024,17485,CHARACTER,False,False
4024,140317,CHARACTER,False,False
4024,18033,CHARACTER,False,False
4024,18031,CHARACTER,False,False
4024,168873,CHARACTER,False,False
4024,136650,CHARACTER,False,False
4024,150009,PARENT,False,False
4024,136649,CHARACTER,False,False
4024,168870,CHARACTER,False,False
4024,168867,CHARACTER,False,False
4024,17953,CHARACTER,False,False
4024,186043,CHARACTER,True,False
4024,179215,CHARACTER,False,False
4024,201272,CHARACTER,False,False
4024,19705,CHARACTER,False,False
4024,211864,CHARACTER,False,False
4400,4379,PREQUEL,True,True
4524,123752,ALTERNATIVE,True,True
4794,1119,PARENT,True,True
5200,148485,ALTERNATIVE,False,False
5996,22,PARENT,True,True
6245,2420,SIDE_STORY,True,True
6245,2419,PARENT,False,False
6310,5967,PARENT,True,True
6625,415,ALTERNATIVE,False,False
7229,2213,ALTERNATIVE,True,True
7229,1520,ALTERNATIVE,False,False
7329,508,PARENT,True,True
8839,85,PARENT,False,False
9325,3239,PARENT,False,False
9817,9818,SEQUEL,True,True
10036,526,PARENT,False,False
10139,10138,PREQUEL,False,False
10360,200649,OTHER,True,False
10409,2327,PARENT,True,True
10765,135,ALTERNATIVE,True,True
10989,181830,PREQUEL,False,False
12485,6069,PARENT,False,False
15399,19479,CHARACTER,True,False
17961,2747,PARENT,False,False
20477,80,PARENT,False,False
20858,20857,SEQUEL,True,True
102000,1281,PARENT,True,True
119836,1960,PARENT,False,False
119939,1052,PREQUEL,False,False
20,1735,SEQUEL,True,True
20,442,SIDE_STORY,True,True
20,594,SIDE_STORY,True,True
20,761,SIDE_STORY,True,True
20,936,SIDE_STORY,True,True
20,1074,SIDE_STORY,True,True
20,2144,SIDE_STORY,True,True
20,7367,SIDE_STORY,True,True
20,10659,SIDE_STORY,True,True
20,155348,SUMMARY,True,True
20,162561,OTHER,False,False
48,873,SEQUEL,True,True
48,1143,SEQUEL,False,False
48,1487,SEQUEL,True,True
48,454,SIDE_STORY,True,True
48,2928,ALTERNATIVE,True,True
48,110286,SUMMARY,True,True
48,299,SEQUEL,True,True
48,9332,OTHER,True,False
53,394,SEQUEL,True,True
53,6709,SIDE_STORY,True,True
59,596,SIDE_STORY,True,True
59,177,CHARACTER,True,False
59,969,CHARACTER,True,False
66,659,SIDE_STORY,True,True
66,1593,SIDE_STORY,True,True
71,73,SEQUEL,True,True
71,72,SIDE_STORY,True,True
71,6291,SEQUEL,True,True
71,115918,SUMMARY,True,True
71,115916,SUMMARY,True,True
71,115914,SUMMARY,True,True
93,864,SIDE_STORY,True,True
93,2269,SUMMARY,True,True
93,2743,SPIN_OFF,True,True
93,7113,OTHER,False,False
93,3288,OTHER,True,False
93,80,PARENT,False,False
93,2298,SIDE_STORY,True,True
93,94,SEQUEL,True,True
93,212323,CHARACTER,True,False
107,108,SEQUEL,True,True
122,1996,SIDE_STORY,True,True
128,127,PREQUEL,True,True
137,136,PREQUEL,False,False
137,138,SEQUEL,True,True
137,11061,ALTERNATIVE,True,True
144,704,SEQUEL,True,True
144,1530,ALTERNATIVE,True,True
144,132528,CHARACTER,True,False
144,143150,CHARACTER,True,False
165,559,SIDE_STORY,True,True
165,758,ALTERNATIVE,True,True
165,5288,SUMMARY,True,True
179,178,ALTERNATIVE,True,True
