replicate_id,attempt_id,n_rows,n_unique_groups,baseline_seed_42_map,baseline_seed_43_map,baseline_seed_44_map,baseline_mean_map,final_seed_42_map,final_seed_43_map,final_seed_44_map,final_mean_map,delta_map
83,83,1171,427,0.33321594897869794,0.3106005629763729,0.30487297232694843,0.3162298280940064,0.46218980014276406,0.4562251363588415,0.46779531038748917,0.46207008229636487,0.14584025420235847
84,84,1179,436,0.31854634938867754,0.30679604186583237,0.3182374754834583,0.31452662224598943,0.45163106305332934,0.451626821966496,0.44370254597953407,0.4489868103331198,0.1344601880871304
85,85,1088,430,0.2970399025810772,0.29488271943149397,0.3019675392453592,0.2979633870859768,0.46251443543350546,0.45181893772761855,0.4455273019669262,0.45328689170935005,0.15532350462337324
86,86,1052,432,0.31281040740708255,0.2935158042453156,0.2968101087400054,0.3010454401308012,0.4392179323479087,0.4435366342894887,0.44134563224794876,0.441366732961782,0.14032129283098083
87,87,1011,434,0.3115308882947549,0.29979151571213347,0.3063481027707081,0.30589016892586546,0.4626723427485113,0.4666651836113454,0.47235271401102574,0.4672300801236275,0.16133991119776203
88,88,1092,430,0.3122025701407691,0.2890672063784496,0.31154733772307336,0.30427237141409735,0.44061129491899304,0.4419674948579912,0.44903186687356356,0.4438702188835159,0.13959784746941856
89,89,1079,423,0.30521813922439783,0.28724603685477473,0.285853467191103,0.2927725477567585,0.45511334929255726,0.4425828592446294,0.4601009942143204,0.45259906758383567,0.15982651982707718
90,90,1188,419,0.3299362816931695,0.3075282800380387,0.31593665017659056,0.3178004039692663,0.48569520479997896,0.4853124069622638,0.4852989944311998,0.4854355353978142,0.1676351314285479
91,91,1068,428,0.2915550216079992,0.28698550015055496,0.28914201629947583,0.28922751268601,0.42433089841244004,0.4297934648946175,0.4297521708363139,0.42795884471445717,0.13873133202844717
92,92,1215,419,0.30182892066513717,0.2888340356281725,0.2884694607755968,0.29304413902296883,0.44649402881308814,0.4393894745680547,0.4446855838946768,0.44352302909193986,0.15047889006897103
93,93,1191,416,0.31819222859404805,0.30399233737938774,0.30240136757939223,0.30819531118427596,0.4698269023989013,0.48570488671904183,0.4720554748665841,0.47586242132817574,0.1676671101438998
94,94,1122,430,0.3017238735641751,0.2938669344822157,0.293819462339068,0.29647009012848624,0.4502326485347681,0.4539283409188563,0.4479555550612207,0.4507055148382817,0.15423542470979545
95,95,1115,439,0.2994378047419642,0.28978389567463164,0.28859494678122255,0.29260554906593944,0.44228340652010184,0.45582727200885004,0.45355969353740294,0.4505567906887849,0.15795124162284546
96,96,1164,435,0.3099794431190896,0.3065447749926334,0.3013494641923926,0.30595789410137186,0.4701527535110334,0.4678576534953887,0.47123981550436467,0.46975007417026227,0.1637921800688904
97,97,1113,417,0.319247322461537,0.30530108576365406,0.2982434827379577,0.30759729698771626,0.478085842244092,0.49285859334743576,0.4909435586734839,0.4872959980883372,0.17969870110062092
98,98,1144,433,0.30669183548706913,0.30653081884676714,0.31122405280307275,0.3081489023789697,0.4371490282599024,0.43680360861886586,0.44463769188870544,0.4395301095891579,0.1313812072101882
99,99,1164,426,0.30516899130262726,0.2888271588515977,0.29507197941569663,0.2963560431899739,0.42472769612811057,0.43743162840534344,0.4410139030156668,0.43439107584970693,0.13803503265973305
100,100,1216,420,0.2936312169474982,0.28056318768715527,0.2868441843483939,0.28701286299434914,0.41292415788051784,0.421690959389532,0.4240418137138558,0.4195523103279685,0.1325394473336194
101,101,1173,440,0.3215163517199168,0.2993519718322554,0.30412340923866,0.3083305775969441,0.4555707528265418,0.46052539772388895,0.44537244621335875,0.4538228655879299,0.1454922879909858
102,102,1183,439,0.3127412098339704,0.2964498988651755,0.29429282635275883,0.30116131168396826,0.4761025841249247,0.4636861624908672,0.45636862134381984,0.46538578931987057,0.1642244776359023
103,103,1007,415,0.31237514582543485,0.3059244832575961,0.3078271143930041,0.30870891449201165,0.46905721804715467,0.4678977700530426,0.47457822891045265,0.4705110723368833,0.16180215784487162
104,104,1130,446,0.3092776677910689,0.2965692903424162,0.29745600704087366,0.3011009883914529,0.43147547690137883,0.43006778125042205,0.439491229491651,0.43367816254781727,0.13257717415636439
105,105,1126,432,0.2962655145697004,0.2855976235724098,0.27606872524835235,0.28597728779682086,0.43177855781164365,0.4352728875294862,0.43311549079783884,0.4333889787129895,0.14741169091616863
106,106,1069,419,0.2953101665721345,0.29805076529773655,0.29820449164362467,0.2971884745044986,0.4287764153210426,0.43387587578697556,0.438750015735685,0.43380076894790104,0.13661229444340245
107,107,1089,422,0.3126312108725388,0.30999450422062735,0.3015175371569057,0.30804775075002394,0.46810969606410424,0.47674995529845215,0.48032139325207185,0.4750603482048761,0.16701259745485214
108,108,1106,435,0.3112864053492075,0.31682024786790164,0.31146319483085666,0.3131899493493219,0.46548775386479607,0.4690986994009892,0.4692543703483364,0.4679469412047072,0.15475699185538527
109,109,1187,422,0.29283822074223914,0.2831457707085871,0.2897622735661432,0.2885820883389898,0.4462378720413242,0.45101303549964555,0.43458533731794763,0.44394541495297246,0.15536332661398267
110,110,1151,412,0.3033506354849802,0.28532533759864576,0.2824087289546705,0.2903615673460988,0.4509317274117789,0.4447900791233214,0.44768449943448935,0.4478021019898632,0.1574405346437644
111,111,1135,429,0.2969930256956581,0.2969524860623347,0.2813716867392433,0.2917723994990787,0.44887526490374724,0.4447995002488882,0.45231104618202317,0.44866193711155283,0.15688953761247415
112,112,1014,421,0.31878527618201247,0.30228980598202027,0.30863014399303035,0.3099017420523544,0.44418833679515485,0.46149177743456593,0.45450370365466436,0.45339460596146175,0.14349286390910737
113,113,1160,427,0.3010777188286769,0.2952433542697012,0.2907456229244763,0.2956888986742848,0.4490131838078978,0.45850856605786505,0.4543331419006588,0.4539516305888072,0.15826273191452245
114,114,1083,433,0.30523067913896434,0.29414777455950614,0.31297118602881235,0.304116546575761,0.4684640926895572,0.4589164919718628,0.46328715446743507,0.4635559130429517,0.1594393664671907
115,115,1035,425,0.3117056803836097,0.3104025831991488,0.29930938775838156,0.30713921711371334,0.44803107525697916,0.44109976521682615,0.4706285009735323,0.4532531138157792,0.14611389670206587
116,116,1058,426,0.305373137931674,0.3006903634826892,0.3024270408443017,0.3028301807528883,0.4517739684149027,0.455644091645973,0.46316518003115065,0.45686108003067544,0.15403089927778713
117,117,1113,425,0.3276507593050945,0.30964339585948025,0.3064468142771663,0.31458032314724704,0.44939863934024354,0.4499896967409438,0.45706033862057405,0.4521495582339205,0.13756923508667346
118,118,1105,426,0.2990736481856119,0.283734914906602,0.30487480561276314,0.2958944562349924,0.4298005915108577,0.43150444979554975,0.42590900139905746,0.42907134756848825,0.13317689133349586
119,119,1088,441,0.32374840052622533,0.3025041271631272,0.3102361763284113,0.31216290133925456,0.4516996808909754,0.4595529993559781,0.4628073805904617,0.4580200202791384,0.14585711893988385
120,120,1100,431,0.3153859062321964,0.3033886094083746,0.306475878330828,0.30841679799046634,0.43324978914616574,0.43478680197412806,0.44124664005599423,0.43642774372542936,0.12801094573496302
121,121,1056,422,0.30641430004058545,0.3050378139813156,0.30399475004023724,0.3051489546873794,0.4545504335639922,0.45674472575992253,0.4476176043012714,0.4529709212083954,0.14782196652101598
122,122,1033,419,0.31798606166286225,0.3112758295923124,0.31168415653017845,0.3136486825951177,0.44152589499953454,0.43817788025014887,0.43325312843703334,0.4376523012289056,0.1240036186337879
123,123,1074,419,0.31614412728178715,0.30441046156947776,0.3128766205876154,0.3111437364796268,0.4399698644168371,0.44076116785428776,0.4486413241920177,0.4431241188210475,0.13198038234142073
124,124,1151,424,0.3214978216727289,0.315402036402937,0.313075861681871,0.3166585732525123,0.46373030739450244,0.4568270641691825,0.4670895997419169,0.46254899043520065,0.14589041718268836
125,125,1211,426,0.2976679798347969,0.2880312238059622,0.27576383147934913,0.28715434504003606,0.45190337072042913,0.4290208126662247,0.45038974827426353,0.44377131055363916,0.1566169655136031
126,126,1124,431,0.3138561786451203,0.30108917099128535,0.31354545413253543,0.30949693458964705,0.46409269675737674,0.4551453084361356,0.45118985383343124,0.45680928634231455,0.1473123517526675
127,127,1061,440,0.28596199312770454,0.3001456667365671,0.29623014625087246,0.29411260203838135,0.4506088992515871,0.45727175633966183,0.45769286595317804,0.4551911738481423,0.16107857180976093
128,128,1094,444,0.323221233747232,0.3047584332576522,0.31249186238709337,0.31349050979732584,0.44674961486946113,0.4599362849132723,0.45493561297870144,0.45387383758714495,0.1403833277898191
129,129,1031,418,0.29682104524642694,0.2902763238287031,0.2898706827762842,0.2923226839504714,0.43664097121368295,0.43052370283396274,0.4536890816844573,0.4402845852440344,0.14796190129356301
130,130,1221,432,0.30872190082803114,0.29942481393733295,0.3075031910933085,0.30521663528622417,0.45274067348225205,0.4595899103007554,0.45076526343974943,0.4543652824075856,0.14914864712136144
131,131,1067,439,0.3039484619249228,0.29113254926415943,0.30326200158834143,0.2994476709258079,0.42817449647188593,0.4388304442595718,0.4373065036120516,0.4347704814478364,0.13532281052202855
132,132,1233,424,0.308783072506315,0.2939273050459608,0.29466972943585157,0.29912670232937577,0.44656846417416635,0.46162550597779556,0.4488771788652561,0.45235704967240603,0.15323034734303026
133,133,1250,425,0.3230468876931552,0.30905560328394954,0.3072896371174277,0.3131307093648441,0.4625085586041646,0.46284366384357567,0.46726300405784665,0.4642050755018623,0.1510743661370182
134,134,1098,418,0.30205029798173877,0.28985630670548956,0.2934876583128234,0.29513142100001727,0.42658333030494294,0.43590646887556406,0.42554014039352484,0.42934331319134394,0.13421189219132668
135,135,1198,426,0.3101828726998687,0.3000909416797079,0.2977114712093599,0.30266176186297883,0.43721254555742367,0.43399591594594705,0.4328243940401702,0.43467761851451364,0.1320158566515348
136,136,1033,430,0.30913398086092814,0.2975870689166828,0.30260364655004984,0.3031082321092203,0.4682578313967424,0.46131012376074026,0.4593359351957139,0.4629679634510655,0.15985973134184522
137,137,1139,433,0.31727225712836643,0.29749293427691487,0.3074786597709595,0.3074146170587469,0.45961242962851334,0.45896546268789035,0.45861023514121146,0.45906270915253833,0.15164809209379143
138,138,1170,432,0.2995558075668925,0.3018070259111251,0.2984489945780478,0.29993727601868847,0.4350579320026876,0.43382540591969654,0.44432594608272585,0.4377364280017033,0.13779915198301484
139,139,1028,428,0.3336711625369481,0.31540644079959246,0.3276997151305025,0.3255924394890144,0.45441520222772985,0.45967264495362864,0.4699431611210205,0.46134366943412636,0.13575122994511196
140,140,1051,434,0.2857750898657425,0.2810486655225006,0.2840024954435796,0.2836087502772742,0.4160882023913873,0.42466986439810456,0.43311364540511166,0.42462390406486783,0.1410151537875936
141,141,1177,412,0.31130687176588584,0.30396091618105764,0.3037901742679939,0.30635265407164575,0.4596219528194891,0.4785533541190244,0.47682148991790574,0.4716655989521397,0.16531294488049397
142,142,1175,424,0.3110663507163188,0.2865409232149073,0.2999792665079526,0.2991955134797262,0.42919923697366164,0.4347606512477781,0.4404199649499138,0.4347932843904512,0.13559777091072495
143,143,1106,432,0.30796594931899396,0.29903563513644404,0.2949388223074356,0.3006468022542912,0.46722184547103507,0.4519548792680574,0.4658067364117635,0.461661153716952,0.1610143514626608
144,144,1091,434,0.3070528034885761,0.289207957135648,0.30304981129662356,0.29977019064028254,0.44660351483051786,0.4415670369423228,0.44009760541993465,0.44275605239759175,0.1429858617573092
145,145,1122,435,0.2960275948772892,0.28524503309746724,0.29788142845108895,0.29305135214194844,0.44995347006617853,0.4502231264982404,0.44713628451411036,0.4491042936928431,0.15605294155089466
146,146,1125,433,0.31606849686622773,0.3169869095607661,0.3138470350266558,0.3156341471512165,0.45567975829711,0.46568133484358754,0.4565949216688191,0.45931867160317214,0.14368452445195562
147,147,1124,417,0.30531515497496914,0.29699831823443007,0.3006701311536333,0.3009945347876775,0.4531621784177982,0.44940575996832155,0.4519837099596496,0.45151721611525647,0.15052268132757896
148,148,1195,415,0.3164450506179875,0.29616319288845705,0.29466388665674753,0.3024240433877307,0.4517947029830285,0.46575322657474016,0.4733515516015756,0.4636331603864481,0.16120911699871737
149,149,1144,424,0.28761377293477297,0.2797039964827729,0.2855256867369265,0.2842811520514908,0.44799505233370296,0.4507290355938772,0.4492451720714922,0.4493230866663575,0.16504193461486671
150,150,1286,425,0.30068693311699934,0.2811027887193667,0.29191198092647347,0.29123390092094653,0.45520027660588147,0.4529394470084095,0.46049828060648185,0.45621266807359095,0.16497876715264442
151,151,1033,419,0.304541945825504,0.28069681942571106,0.2970097776759217,0.2940828476423789,0.43245028024702803,0.43611937430922976,0.4496065084388654,0.43939205433170775,0.14530920668932884
